"小怪建立													",,,,,,,,,,,,
id,src,gun_short,sword_short,arrow_short,attack,exp,fire,water,earth,thunder,poison,light
1,c1_1.png,2,0,1,0,1,0,0,0,0,0,"0"""
2,c1_2.png,1,2,0,0,1,0,0,0,0,0,"0"""
3,c1_3.png,1,2,0,0,1,0,0,0,0,0,"0"""
4,c1_4.png,0,1,2,1,1,0,0,0,0,0,"0"""
5,c1_5.png,1,2,0,2,1,0,0,0,0,0,"0"""
6,c1_6.png,0,1,2,2,1,0,0,0,0,0,"0"""
7,c1_7.png,0,2,1,0,0,1,0,0,0,0,"0"""
8,c1_8.png,1,2,0,0,0,0,1,0,0,0,"0"""
9,c1_9.png,2,0,1,0,0,0,0,0,1,0,"0"""
10,c1_10.png,0,1,2,0,0,0,0,0,0,1,"0"""
11,c1_11.png,2,1,0,0,0,0,0,0,0,0,"1"""
12,c1_12.png,1,0,2,0,0,0,0,1,0,0,"0"""
"夥伴													",,,,,,,,,,,,
"id	src	friend_gun	friend_sword	friend_arrow									",,,,,,,,,,,,
"13	c1_13.png	0	0	1									",,,,,,,,,,,,
"14	c1_14.png	0	0	1									",,,,,,,,,,,,
"15	c1_15.png	0	1	0									",,,,,,,,,,,,
"16	c1_16.png	0	1	0									",,,,,,,,,,,,
"17	c1_17.png	1	0	0									",,,,,,,,,,,,
"18	c1_18.png	1	0	0									",,,,,,,,,,,,
"武器													",,,,,,,,,,,,
"id	src	gun	sword	arrow									",,,,,,,,,,,,
"19	c1_19.png	0	0	1									",,,,,,,,,,,,
"20	c1_20.png	1	0	0									",,,,,,,,,,,,
"21	c1_21.png	0	1	0									",,,,,,,,,,,,
"id	src	attack	isTrap										",,,,,,,,,,,,
"22	c1_22.png	2	0										",,,,,,,,,,,,
"23	c1_23.png	0	2										",,,,,,,,,,,,
"													",,,,,,,,,,,,
"id	src	treat	restUp										",,,,,,,,,,,,
"24	c1_24.png	1	1										",,,,,,,,,,,,
